"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01196500",2020-08-17,2020-08-17 15:30:00,305,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01196500",2020-08-17,2020-08-17 15:30:00,293,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01174575",1985-06-05,1985-06-05 13:30:00,26,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01192704",2020-06-23,2020-06-23 13:30:00,371,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01192704",2020-06-23,2020-06-23 13:30:00,331,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"USGS-01125100",2017-07-24,2017-07-24 13:45:00,159,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01125100",2017-07-24,2017-07-24 13:45:00,131,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01124000",2020-06-11,2020-06-11 13:45:00,143,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"CT_DEP01_WQX-14370",2013-09-25,2013-09-25 16:48:00,232,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01208500",2017-05-22,2017-05-22 17:00:00,164,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01209710",2020-06-22,2020-06-22 14:10:00,294,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"CT_DEP01_WQX-14366",2013-10-07,2013-10-07 17:54:00,229.999959,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01188090",2017-10-19,2017-10-19 13:15:00,106,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01188090",2017-10-19,2017-10-19 13:15:00,90,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01203000",2017-08-28,2017-08-28 16:15:00,101,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01209710",2020-08-03,2020-08-03 13:30:00,294,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01209710",2020-03-09,2020-03-09 14:50:00,214,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-443603071242901",1995-08-30,1995-08-30 15:00:00,38,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-443603071242901",1995-08-30,1995-08-30 15:00:00,35,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"CT_DEP01_WQX-14360",2013-10-07,2013-10-07 16:34:00,237.999976,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01174570",1988-07-12,1988-07-12 19:00:00,35,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"CT_DEP01_WQX-14361",2013-09-25,2013-09-25 17:56:00,233,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01192704",2020-09-24,2020-09-24 15:15:00,336,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01192704",2020-09-24,2020-09-24 15:15:00,341,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"USGS-01192500",2022-10-12,2022-10-12 16:00:00,313,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01193500",2017-04-26,2017-04-26 13:30:00,94,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01125520",2020-09-09,2020-09-09 17:30:00,300,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01170006",2020-09-16,2020-09-16 16:30:00,39,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01117855",1988-07-19,1988-07-19 19:15:00,106,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"CT_DEP01_WQX-15499",2013-10-15,2013-10-15 13:27:00,68.999946,"mgLTDS","Total dissolved solids",NA,NA,NA,0
